Müdigkeit:
11-22 16:35:57.486   818-7625      C02564/vibrato..._vibrator_dal  vibrator_host         I     WaitForEffect, real time = 38, need Time = 50
11-22 16:35:57.667   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.7952
11-22 16:35:57.667   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 1.6083
11-22 16:35:57.686   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.5211
11-22 16:35:57.686   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.3144
11-22 16:35:57.686   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.4615
11-22 16:35:57.707   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.7663
11-22 16:35:57.707   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.2166
11-22 16:35:57.707   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.9714
11-22 16:35:57.708   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: 0.1649
11-22 16:35:57.708   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.1368
11-22 16:35:57.708   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.5229
11-22 16:35:57.725   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.3937
11-22 16:35:57.725   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.0891
11-22 16:35:57.725   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.3144
11-22 16:35:57.742   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.1978
11-22 16:35:57.742   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -5.0995
11-22 16:35:57.742   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 3.2852
11-22 16:35:57.752   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: 0.9151
11-22 16:35:57.753   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: 0.2382
11-22 16:35:57.753   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.1845
11-22 16:35:57.766   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -8.3455
11-22 16:35:57.766   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -5.1779
11-22 16:35:57.766   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 4.5503
11-22 16:35:57.783   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -11.8170
11-22 16:35:57.783   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.4029
11-22 16:35:57.783   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 5.0700
11-22 16:35:57.801   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -13.2390
11-22 16:35:57.801   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.0204
11-22 16:35:57.801   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 4.9916
11-22 16:35:57.802   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: 0.9542
11-22 16:35:57.802   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: 0.4044
11-22 16:35:57.802   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: 0.3665
11-22 16:35:57.820   542-879       C02800/multimodalinput/Util     multimodalinput       E     [P:D:4384][ReadJsonFile:381] CHKPS(realpath(filePath.c_str(), realPath)) is null
11-22 16:35:57.828   542-879       C02800/multimodalinput/Util     multimodalinput       E     [P:M:4385][ReadJsonFile:381] CHKPS(realpath(filePath.c_str(), realPath)) is null
11-22 16:35:57.832   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -14.0823
11-22 16:35:57.832   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.7170
11-22 16:35:57.833   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 5.8055
11-22 16:35:57.836   542-879       C02800/multimodalinput/Util     multimodalinput       E     [P:M:4386][ReadJsonFile:381] CHKPS(realpath(filePath.c_str(), realPath)) is null
11-22 16:35:57.840   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -12.8663
11-22 16:35:57.840   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -5.8546
11-22 16:35:57.840   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 5.6388
11-22 16:35:57.844   542-879       C02800/multimodalinput/Util     multimodalinput       E     [P:M:4387][ReadJsonFile:381] CHKPS(realpath(filePath.c_str(), realPath)) is null
11-22 16:35:57.852   542-879       C02800/multimodalinput/Util     multimodalinput       E     [P:M:4388][ReadJsonFile:381] CHKPS(realpath(filePath.c_str(), realPath)) is null
11-22 16:35:57.855   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: 0.2529
11-22 16:35:57.855   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: 0.0012
11-22 16:35:57.855   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.1087
11-22 16:35:57.856   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -11.8660
11-22 16:35:57.856   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.7758
11-22 16:35:57.856   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 5.1681
11-22 16:35:57.861   542-879       C02800/multimodalinput/Util     multimodalinput       E     [P:M:4389][ReadJsonFile:381] CHKPS(realpath(filePath.c_str(), realPath)) is null
11-22 16:35:57.869   542-879       C02800/multimodalinput/Util     multimodalinput       E     [P:U:4390][ReadJsonFile:381] CHKPS(realpath(filePath.c_str(), realPath)) is null
11-22 16:35:57.875   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -11.5915
11-22 16:35:57.875   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.5601
11-22 16:35:57.875   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 5.4819
11-22 16:35:57.899   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -11.3953
11-22 16:35:57.899   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -5.3642
11-22 16:35:57.899   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 5.6781
11-22 16:35:57.901   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.5486
11-22 16:35:57.901   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.1112
11-22 16:35:57.901   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: 0.3213
11-22 16:35:57.914   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -11.0423
11-22 16:35:57.914   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.5993
11-22 16:35:57.914   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 4.6582
11-22 16:35:57.931   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -10.4637
11-22 16:35:57.932   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.3146
11-22 16:35:57.932   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 3.4912
11-22 16:35:57.941   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.6145
11-22 16:35:57.941   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.3543
11-22 16:35:57.941   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.0855
11-22 16:35:57.951   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -9.2575
11-22 16:35:57.951   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.7851
11-22 16:35:57.951   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 3.5402
11-22 16:35:57.969   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -7.9140
11-22 16:35:57.969   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.4222
11-22 16:35:57.970   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 3.9619
11-22 16:35:57.990   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -7.1785
11-22 16:35:57.990   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.6481
11-22 16:35:57.990   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 3.8638
11-22 16:35:57.990   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.5486
11-22 16:35:57.990   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.0513
11-22 16:35:57.990   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: 0.0318
11-22 16:35:58.007   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.6881
11-22 16:35:58.007   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.5895
11-22 16:35:58.007   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 3.5206
11-22 16:35:58.021   818-7628      C02564/vibrato..._vibrator_dal  vibrator_host         I     WaitForEffect, real time = 48, need Time = 50
11-22 16:35:58.027   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.3939
11-22 16:35:58.027   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.0597
11-22 16:35:58.027   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.5203
11-22 16:35:58.036   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.0415
11-22 16:35:58.036   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: 0.1869
11-22 16:35:58.036   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: 0.3653
11-22 16:35:58.047   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.4528
11-22 16:35:58.047   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.7459
11-22 16:35:58.047   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.4026
11-22 16:35:58.065   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.1488
11-22 16:35:58.065   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.2460
11-22 16:35:58.065   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 1.9319
11-22 16:35:58.086   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.3351
11-22 16:35:58.086   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.6088
11-22 16:35:58.086   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 1.5102
11-22 16:35:58.087   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.1906
11-22 16:35:58.087   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.0660
11-22 16:35:58.087   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.0977
11-22 16:35:58.104   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.1779
11-22 16:35:58.104   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.1970
11-22 16:35:58.104   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.1280
11-22 16:35:58.126   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.1583
11-22 16:35:58.126   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.8635
11-22 16:35:58.126   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.0496
11-22 16:35:58.134   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: 0.0648
11-22 16:35:58.134   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.1258
11-22 16:35:58.134   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.2382
11-22 16:35:58.141   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -4.9622
11-22 16:35:58.141   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.7262
11-22 16:35:58.141   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.0692
11-22 16:35:58.170   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.9036
11-22 16:35:58.171   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.6187
11-22 16:35:58.171   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 3.0695
11-22 16:35:58.186   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.7173
11-22 16:35:58.186   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.0401
11-22 16:35:58.186   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 3.2264
11-22 16:35:58.186   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.1332
11-22 16:35:58.186   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.2944
11-22 16:35:58.186   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.3702
11-22 16:35:58.204   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.1289
11-22 16:35:58.205   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.2555
11-22 16:35:58.205   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.1869
11-22 16:35:58.221   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.7565
11-22 16:35:58.221   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.0305
11-22 16:35:58.221   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 3.5010
11-22 16:35:58.226   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: 0.6500
11-22 16:35:58.226   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: 0.1686
11-22 16:35:58.226   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.2089
11-22 16:35:58.236   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -7.4825
11-22 16:35:58.236   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.3146
11-22 16:35:58.236   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 0.8434
11-22 16:35:58.255   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -8.0415
11-22 16:35:58.255   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -5.9624
11-22 16:35:58.255   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.1869
11-22 16:35:58.287   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -11.2188
11-22 16:35:58.287   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -5.3054
11-22 16:35:58.287   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 7.4531
11-22 16:35:58.287   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: 1.1081
11-22 16:35:58.287   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: 0.5705
11-22 16:35:58.287   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: 0.5107
11-22 16:35:58.289   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_HR: 112
11-22 16:35:58.304   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -15.3768
11-22 16:35:58.304   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.5105
11-22 16:35:58.304   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 7.7571
11-22 16:35:58.319   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -14.5138
11-22 16:35:58.319   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.9327
11-22 16:35:58.319   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 5.3839
11-22 16:35:58.326   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: 0.3519
11-22 16:35:58.326   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: 0.1710
11-22 16:35:58.326   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.1112
11-22 16:35:58.335   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -12.2191
11-22 16:35:58.335   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -5.2368
11-22 16:35:58.335   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 5.4623
11-22 16:35:58.355   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -11.7582
11-22 16:35:58.355   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.2267
11-22 16:35:58.356   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 6.1586
11-22 16:35:58.366   542-879       C02800/multimodalinput/Util     multimodalinput       E     [K:D:4391][ReadJsonFile:381] CHKPS(realpath(filePath.c_str(), realPath)) is null
11-22 16:35:58.392   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -10.8167
11-22 16:35:58.393   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.4326
11-22 16:35:58.393   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 4.8151
11-22 16:35:58.407   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.3800
11-22 16:35:58.408   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.1955
11-22 16:35:58.408   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: 0.1307
11-22 16:35:58.409   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -10.7971
11-22 16:35:58.409   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.6778
11-22 16:35:58.409   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 4.7856
11-22 16:35:58.416   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -10.0126
11-22 16:35:58.416   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -4.1580
11-22 16:35:58.416   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 4.6974
11-22 16:35:58.421   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.8100
11-22 16:35:58.421   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.3225
11-22 16:35:58.421   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: 0.1124
